Date,Population,Region
2020-08-04,346,far north west
2020-08-04,0,far north central
2020-08-04,6,far north east
2020-08-04,96,north west
2020-08-04,63,north central
2020-08-04,62,north east
2020-08-04,216,saskatoon
2020-08-04,158,central west
2020-08-04,28,central east
2020-08-04,99,regina
2020-08-04,149,south west
2020-08-04,134,south central
2020-08-04,11,south east
2020-08-04,1368,total
2020-08-05,346,far north west
2020-08-05,0,far north central
2020-08-05,6,far north east
2020-08-05,98,north west
2020-08-05,63,north central
2020-08-05,65,north east
2020-08-05,217,saskatoon
2020-08-05,159,central west
2020-08-05,28,central east
2020-08-05,100,regina
2020-08-05,149,south west
2020-08-05,134,south central
2020-08-05,11,south east
2020-08-05,1376,total
2020-08-06,346,far north west
2020-08-06,0,far north central
2020-08-06,6,far north east
2020-08-06,98,north west
2020-08-06,63,north central
2020-08-06,65,north east
2020-08-06,218,saskatoon
2020-08-06,159,central west
2020-08-06,28,central east
2020-08-06,100,regina
2020-08-06,150,south west
2020-08-06,143,south central
2020-08-06,11,south east
2020-08-06,1387,total
2020-08-07,346,far north west
2020-08-07,0,far north central
2020-08-07,6,far north east
2020-08-07,99,north west
2020-08-07,63,north central
2020-08-07,65,north east
2020-08-07,221,saskatoon
2020-08-07,159,central west
2020-08-07,30,central east
2020-08-07,102,regina
2020-08-07,153,south west
2020-08-07,154,south central
2020-08-07,11,south east
2020-08-07,1409,total
2020-08-08,346,far north west
2020-08-08,0,far north central
2020-08-08,6,far north east
2020-08-08,99,north west
2020-08-08,66,north central
2020-08-08,65,north east
2020-08-08,224,saskatoon
2020-08-08,159,central west
2020-08-08,30,central east
2020-08-08,113,regina
2020-08-08,154,south west
2020-08-08,159,south central
2020-08-08,11,south east
2020-08-08,1433,total
2020-08-09,346,far north west
2020-08-09,0,far north central
2020-08-09,6,far north east
2020-08-09,100,north west
2020-08-09,66,north central
2020-08-09,65,north east
2020-08-09,224,saskatoon
2020-08-09,160,central west
2020-08-09,30,central east
2020-08-09,118,regina
2020-08-09,156,south west
2020-08-09,162,south central
2020-08-09,11,south east
2020-08-09,1445,total
2020-08-10,346,far north west
2020-08-10,0,far north central
2020-08-10,6,far north east
2020-08-10,100,north west
2020-08-10,66,north central
2020-08-10,65,north east
2020-08-10,225,saskatoon
2020-08-10,160,central west
2020-08-10,30,central east
2020-08-10,121,regina
2020-08-10,156,south west
2020-08-10,163,south central
2020-08-10,11,south east
2020-08-10,1450,total
2020-08-11,346,far north west
2020-08-11,0,far north central
2020-08-11,6,far north east
2020-08-11,101,north west
2020-08-11,66,north central
2020-08-11,65,north east
2020-08-11,242,saskatoon
2020-08-11,160,central west
2020-08-11,30,central east
2020-08-11,125,regina
2020-08-11,160,south west
2020-08-11,166,south central
2020-08-11,11,south east
2020-08-11,1479,total
2020-08-12,346,far north west
2020-08-12,0,far north central
2020-08-12,6,far north east
2020-08-12,101,north west
2020-08-12,67,north central
2020-08-12,65,north east
2020-08-12,242,saskatoon
2020-08-12,160,central west
2020-08-12,30,central east
2020-08-12,129,regina
2020-08-12,160,south west
2020-08-12,166,south central
2020-08-12,11,south east
2020-08-12,1484,total
2020-08-13,346,far north west
2020-08-13,0,far north central
2020-08-13,6,far north east
2020-08-13,101,north west
2020-08-13,67,north central
2020-08-13,65,north east
2020-08-13,245,saskatoon
2020-08-13,160,central west
2020-08-13,30,central east
2020-08-13,131,regina
2020-08-13,178,south west
2020-08-13,170,south central
2020-08-13,11,south east
2020-08-13,1511,total
2020-08-14,346,far north west
2020-08-14,0,far north central
2020-08-14,6,far north east
